Crop Type;Area;Anos (1S);Anos (2S)
Cotton;GO;2018-2019, 2019-2020, 2021-2022, 2022-2023 ;
;MS;2021-2022;
Irrigated Rice;TO;2017-2018;
;GO;2018-2019;
;MS;2018-2019;
;PR;2017-2018;
;SC;2018-2019;
;RS;2019-2020, 2022-2023;
Coffee;GO;2020-2021;
;RJ;2020-2021;
;SP;2015-2016, 2016-2017, 2018-2019;
Sugar cane;GO;2010-2011, 2011-2012;
;MT;2012-2013;
;MS;2012-2013;
;SP;2012-2013;
Other winter crops;SP;2013-2014;
;PR;2009-2010, 2010-2011, 2011-2012, 2012-2013, ;
;RS;2000-2015;
Other summer crops;RO;2011-2012, 2013-2014, 2020-2021;
;PA;2011-2012, 2020-2021;
;TO;2000-2014;
;BA;2000-2014, 2020-2021;
;MA;2000-2014, 2020-2021;2011-2012, 2012-2013, 2013-2014
;TO;2019-2020, 2020-2021;2011-2012, 2012-2013, 2013-2014
;PI;2000-2014, 2020-2021;2011-2012, 2012-2013, 2013-2014
;GO;2020-2021;2011-2012, 2012-2013, 2013-2014
;DF;2008-2009, 2011-2015, 2017-2018, 2020-2021;2013-2014
;MG;2000-2014, 2020-2021;2011-2012, 2012-2013, 2013-2014
;MT;2004-2015, 2020-2021;2011-2012, 2012-2013, 2013-2014
;MS;2000-2015, 2020-2021;2011-2012, 2012-2013, 2013-2014
;PR;2000-2014, 2020-2021;2009-2010, 2010-2011, 2011-2012, 2012-2013
;SP;2005-2006, 2009-2015, 2020-2021;2011-2012, 2012-2013, 2013-2014
;SC;2003-2004, 2005-2010, 2011-2014, 2020-2021;
;RS;2004-2015, 2020-2021;
Corn;PR;2022-2023;
Soybean;RO;2000-2021;
;TO;2021-2022;
;PI;2021-2022;
;BA;2021-2022;
;MA;2021-2022;
;GO;2020-2021;
;MT;2020-2021;
;MS;2020-2021;
;PR;2022-2023;
;SC;2022-2023;
;RS;2022-2023;
Sugar cane mill;Brazil;2020-2021;
