Crop type;Federation Unit;October;November;December;January;February;March;April;May;June;July;August;September
Cotton;RO;;;;P;P;;;;H;H;H;
Cotton;TO;;;P;P;P;;;;H;H;H;
Cotton;MA;;;P;P;;;;;H;H;H;H
Cotton;PI;;;P;P;;;;;H;H;H;
Cotton;CE;;;;P;P;P;;;H;H;H;
Cotton;RN;;;;H;H;H;;;;P;P;
Cotton;PB;;;;P;P;P;P;P;;H;H;H
Cotton;BA;;P;P;P;P;;;H;H;H;H;H
Cotton;MT;;;P;P;P;;;;H;H;H;H
Cotton;MS;;P;P;P;;;H;H;H;H;H;
Cotton;GO;;;;;;;;H;H;H;H;H
Cotton;MG;;;P;P;P;;;H;H;H;H;
Cotton;SP;P;P;P;;;;H;H;H;H;;
Cotton;PR;;P;P;P;;;H;H;H;H;;
Rice;RR;P;P;P;H;H;H;H;P;;;H;H
Rice;RO;;P;P;P;;H;H;P;;;;
Rice;AC;P;P;P;;H;H;H;;;;;
Rice;AM;H;;;P;P;P;;;;;;
Rice;AP;;;;P;P;P;;H;H;H;;
Rice;PA;P;P;P;P;PH;PH;H;H;H;H;;
Rice;TO;P;P;P;PH;H;H;H;H;;;;
Rice;MA;;P;P;P;P;H;H;H;;;;
Rice;PI;;;P;P;;;H;H;H;;;
Rice;CE;;;;P;P;P;;;;H;H;
Rice;RN;;;;P;P;P;;H;H;H;H;
Rice;PB;;;;P;P;P;;H;H;H;H;
Rice;PE;H;H;;;P;P;P;PH;H;H;H;H
Rice;AL;;P;P;H;H;H;;P;P;;P;P
Rice;SE;;;H;PH;P;P;;;;H;H;PH
Rice;MT;;P;P;P;;H;H;H;H;;;
Rice;MS;P;P;P;H;H;H;H;;;;P;P
Rice;GO;P;P;P;;;H;H;H;;;;
Rice;MG;P;P;P;;;H;H;H;;;;
Rice;ES;P;P;;;;H;H;H;;;;
Rice;RJ;P;P;P;;;H;H;H;;;;
Rice;SP;P;P;P;;;H;H;H;;;;P
Rice;PR;P;P;P;;H;H;H;H;;;;P
Rice;SC;P;P;;H;H;H;H;H;;;;P
